State,Pollutant,Measure,Time,Value
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1970,37.3
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1971,35
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1972,37.8
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1973,41.9
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1974,40.4
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1975,38.7
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1976,39.9
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1977,42.1
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1978,38.2
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1979,42.7
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1980,44.7
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1981,44.7
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1982,35.7
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1983,39.2
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1984,40.8
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1985,49.5
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1986,49.7
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1987,48.3
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1988,46.5
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1989,51.1
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1990,51.4
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1991,55.4
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1992,58.2
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1993,64
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1994,59.9
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1995,65.6
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1996,70.8
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1997,69
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1998,71.1
Alabama,Carbon Dioxide,million metric tons of carbon dioxide,1999,72.4
